"","node1_mic","node2_mic","MIC","pMIC","regression","p_regression"
"23807","OTU196900573","OTU196900256",0.120101757808984,0.764,-0.83617747440273,0.00492386266706795
"23808","OTU196900578","OTU196900256",0.05421400772308,0.957,-0.548076923076923,0.0424469037423142
"23809","OTU196900580","OTU196900256",0.05421400772308,0.96,-0.242990654205608,0.445235696171216
"23810","OTU196900582","OTU196900256",0.174454647914913,0.482,-1.3433734939759,0.0248293623999771
"23811","OTU196900588","OTU196900256",0.160112494299011,0.664,-0.664,0.254572930621439
"23812","OTU196900589","OTU196900256",0.0853909499132791,0.913,-1.29468599033816,0.0124174171833977
"23813","OTU196900590","OTU196900256",0.0793039725984684,0.885,-0.0454545454545459,0.938850717130767
"23814","OTU196900591","OTU196900256",0.159262221081593,0.751,0.00586510263929707,0.994386667343373
"23815","OTU196900592","OTU196900256",0.0753959373497118,1,-0.4,0.572893051109568
"23816","OTU196900594","OTU196900256",0.0853909499132791,0.854,-0.136363636363636,0.817795789874071
"23817","OTU196900596","OTU196900256",0.174454647914913,0.502,-0.753315649867374,0.332182525660734
"23818","OTU196900597","OTU196900256",0.120101757808984,0.851,0.662756598240469,0.42005682088861
"23819","OTU196900598","OTU196900256",0.0753959373497118,1,-0.0454545454545456,0.938850717130767
"23820","OTU196900599","OTU196900256",0.0853909499132791,0.798,-0.77292576419214,0.00118917586157171
"23821","OTU196900600","OTU196900256",0.128884118981421,0.571,-0.217741935483871,0.69526846590084
"23822","OTU196900601","OTU196900256",0.0853909499132791,0.795,-0.681159420289855,0.0021034575568616
"23823","OTU196900603","OTU196900256",0.160112494299011,0.634,-0.207547169811321,0.744709758053869
"23824","OTU196900604","OTU196900256",0.174454647914913,0.481,0.120967741935484,0.828118728729802
"23825","OTU196900605","OTU196900256",0.160112494299011,0.663,0.977011494252874,0.246367861816967
"23826","OTU196900606","OTU196900256",0.0753959373497118,1,-0.292906178489702,0.704341558324981
"23827","OTU196900608","OTU196900256",0.0753959373497118,1,-0.524528301886792,0.404539917758433
"23828","OTU196900611","OTU196900256",0.120101757808984,0.759,-0.166666666666667,0.727273766941678
"23829","OTU196900612","OTU196900256",0.2074985173809,0.112,-0.274193548387097,0.62112992083749
"23830","OTU196900613","OTU196900256",0.0760098536627822,0.926,-0.777292576419214,0.0232340340667811
"23831","OTU196900614","OTU196900256",0.0853909499132791,0.855,-0.700000000000001,0.3166392197292
"23832","OTU196900616","OTU196900256",0.0853909499132791,0.839,-0.899563318777292,0.00582921146345507
"23833","OTU196900618","OTU196900256",0.160112494299011,0.669,0.795180722891566,0.300870249332371
"23834","OTU196900619","OTU196900256",0.160112494299011,0.643,0.183800623052959,0.800737749160723
"23835","OTU196900620","OTU196900256",0.160112494299011,0.625,-0.136363636363637,0.790390840785926
"23836","OTU196900623","OTU196900256",0.0853909499132791,0.796,-0.77292576419214,0.00118917586157171
"23837","OTU196900624","OTU196900256",0.139438576795409,0.431,-0.410480349344979,0.269474448233639
"23838","OTU196900628","OTU196900256",0.0853909499132791,0.796,-0.681159420289856,0.00210345755686158
"23839","OTU196900630","OTU196900256",0.120101757808984,0.742,-0.959677419354839,0.00229648801947782
"23840","OTU196900631","OTU196900256",0.120101757808984,0.762,-0.95,0.116439243229284
"23841","OTU196900635","OTU196900256",0.174454647914913,0.359,-0.144230769230769,0.622766654621031
"23842","OTU196900648","OTU196900256",0.0495760387037475,1,-0.346153846153846,0.225373824397396
"23843","OTU196900655","OTU196900256",0.174454647914913,0.365,-0.144230769230769,0.622766654621031
"23844","OTU196900656","OTU196900256",0.0495760387037475,1,-0.346153846153846,0.225373824397396
"23845","OTU196900658","OTU196900256",0.0495760387037475,1,-0.346153846153846,0.225373824397396
