ID	Gb1	Gb2	Gb3	Gb4	Gb5	Gb6	Gb7	Gb8	Gb9	Gb10	Gb11	Gb12	Gb13	Gb14
OTU196900521	0	0	0	1092	269	541	514	0	976	0	0	517	440	672
OTU196900522	0	0	0	0	0	0	0	0	0	0	451	219	0	511
OTU196900524	0	0	0	956	289	0	0	349	0	313	620	263	0	615
OTU196900527	0	0	0	0	0	0	0	0	0	0	0	373	1039	568
OTU196900528	0	0	0	0	0	0	0	0	0	0	633	624	849	1597
OTU196900529	0	339	676	522	382	0	0	423	0	856	644	0	1043	1572
OTU196900531	0	0	0	0	0	0	0	0	0	0	0	344	442	848
OTU196900532	0	0	0	0	0	0	0	0	0	0	787	1521	2293	6200
OTU196900533	0	0	0	0	0	0	0	442	0	0	954	0	1529	0
OTU196900534	0	266	0	0	180	224	422	0	824	0	0	0	0	0
OTU196900537	0	0	0	0	0	0	0	0	0	0	793	303	693	577
OTU196900538	0	0	0	0	246	0	0	0	0	0	322	0	717	1079
OTU196900539	0	0	0	606	319	0	0	587	0	0	814	636	1389	3013
OTU196900543	0	332	0	671	238	0	0	367	0	0	527	284	333	686
OTU196900546	0	0	0	0	343	0	0	0	1272	0	623	464	499	761
OTU196900547	0	0	0	0	0	0	0	0	0	0	0	501	635	874
OTU196900551	0	284	0	0	210	0	329	0	0	0	0	242	395	0
OTU196900558	0	0	0	0	0	0	0	0	0	0	0	226	600	568
OTU196900559	0	287	500	0	305	0	486	508	957	501	0	217	0	0
OTU196900561	0	0	0	0	0	170	285	0	729	0	0	0	398	0
OTU196900563	0	0	0	0	0	0	0	0	0	0	0	298	1009	947
OTU196900565	0	0	0	0	0	0	0	0	0	0	0	700	586	1231
OTU196900569	0	269	0	532	232	319	611	695	1378	347	386	439	779	615
OTU196900571	0	0	0	0	192	0	425	0	602	0	0	205	0	0
OTU196900573	0	0	0	0	180	0	0	0	0	0	0	414	550	1300
OTU196900578	0	0	0	0	0	0	0	0	0	0	401	0	469	596
OTU196900580	0	0	0	0	0	0	0	0	0	0	543	322	1326	1648
OTU196900582	0	521	0	0	348	0	499	1097	976	456	0	274	726	521
OTU196900588	3248	1561	759	2491	0	392	1091	691	2309	893	0	0	0	0
OTU196900589	1621	1442	3031	977	715	553	1288	1377	2099	1287	0	0	0	0
OTU196900590	1033	916	660	376	0	345	694	515	0	0	0	0	0	0
OTU196900591	779	361	1064	0	158	0	641	350	0	292	598	402	465	591
OTU196900592	753	347	879	468	265	0	343	498	0	409	0	0	0	0
OTU196900594	548	433	1124	0	241	0	357	444	0	856	0	0	0	0
OTU196900596	455	293	756	0	0	0	445	604	816	284	1124	679	814	1016
OTU196900597	387	647	876	426	342	410	798	998	1311	518	365	0	0	0
OTU196900598	447	323	0	0	240	0	446	453	1802	0	0	476	0	0
OTU196900599	391	0	0	0	0	0	0	0	0	0	0	269	0	528
OTU196900600	433	491	0	723	0	724	401	627	0	0	0	0	0	0
OTU196900601	423	0	0	513	0	0	0	0	1104	0	0	0	0	0
