"","Gb1","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Gb10","Gb11","Gb12","Gb13","Gb14","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900398",0.508804795803672,0.315473960284751,0.528662420382166,0.321094042712626,0.26489321843387,0.152866242038217,0.401273885350318,0.315099288122892,1,0.247658298988385,0.135631322592731,0,0.139752716373173,0,0.40558261521169,0.0688460097414762,0.0190273482494744,"X196900398",-0.546760544715647,0.0430472436387904,"decreasing"
"X196900400",0.413177339901478,0.299261083743842,0.488916256157635,1,0.267241379310345,0.117610837438424,0.639162561576355,0.418103448275862,0.667487684729064,0.339285714285714,0.191502463054187,0.169334975369458,0.325738916256158,0,0.465024630541872,0.171644088669951,0.0496938705448479,"X196900400",-0.500842682279302,0.0681152014974325,"dec.trend"
"X196900406",0,0,0,0.654995730145175,0.333902647309991,0,0,0.701110162254483,1,0.322801024765158,0,0.221178479931682,0.625960717335611,0,0.301280956447481,0.211784799316823,0.675296586275832,"X196900406",0.0426187146973172,0.884978302566932,"inc.trend"
"X196900465",0,0,0,0,0,0,0,0.207246867592279,0.239756180155774,0,0.088046054859465,0.105316627158822,1,0.302742973247545,0.0447003047748053,0.374026413816458,0.0319160337977257,"X196900465",0.63060495030195,0.0156134536400374,"increasing"
"X196900469",0.334767025089606,0.294623655913978,0,0.367025089605735,0,0,0,0.860215053763441,1,0,0.681720430107527,0,0.386379928315412,0,0.285663082437276,0.267025089605735,0.932380458194369,"X196900469",0.0206022358845497,0.944268537010395,"inc.trend"
"X196900507",0,0.266621893888516,0,0.289456010745467,0.112155809267965,0,0,0.270651443922095,0.437206178643385,0.318334452652787,0.80456682337139,0.427803895231699,0.668233713901948,1,0.169442578912021,0.725151108126259,0.000297460897359288,"X196900507",0.874819243138683,4.21961353664479e-05,"increasing"
"X196900137",0.852472089314195,0,0.59170653907496,0,0,0,0.640350877192982,0.317384370015949,1,0,0,0,0,0,0.340191387559809,0,0.121666739588405,"X196900137",-0.392556281952826,0.165026538563463,"dec.trend"
"X196900144",0.329437985663514,0.39587976627914,0.585446659839769,1,0.170531895668936,0.607553761821577,0.529787362207096,0.639118125414132,0.710619842178182,0.608758508523583,0,0,0,0,0.557713390759593,0,0.000424455904208925,"X196900144",-0.709541633850592,0.00447914693435747,"decreasing"
"X196900187",0,0.21882951653944,0,0,0,0,0,0.326208651399491,0,0,0.279898218829517,0.227480916030534,1,0.956234096692112,0.0545038167938931,0.615903307888041,0.00154828686258674,"X196900187",0.787162582715231,0.000833702428140339,"increasing"
"X196900194",0,0.794557823129252,0,0,0.210884353741497,0.261224489795918,1,0.522448979591837,0.941496598639456,0,0,0,0,0,0.373061224489796,0,0.100955436763064,"X196900194",-0.342184192335679,0.231094867186414,"dec.trend"
"X196900319",0,0,0,0,0,0,0,0,0,0,0.352647352647353,0.245754245754246,0.681318681318681,1,0,0.56993006993007,0.000108387896888809,"X196900319",0.868719125414915,5.53707247157649e-05,"increasing"
"X196900355",0.661599471249174,0.490416391275611,0.562458691341705,0.566424322538004,0.452081956378057,0.177131526768011,0.460013218770654,0.576338400528751,1,0.594183740912095,0.471249173826834,0.423000660938533,0.454064771976206,0.556510244547257,0.554064771976206,0.476206212822208,0.478241359667572,"X196900355",-0.0883568608539568,0.763898389534836,"dec.trend"
"X196900361",0.860440713536201,0.542497376705142,0,0.795383001049318,0.555089192025184,0.201469045120672,0.719832109129066,0.57607555089192,1,0.915005246589717,0.508919202518363,0.291710388247639,0,0.42707240293809,0.616579223504722,0.306925498426023,0.102381952677837,"X196900361",-0.328821132629951,0.251005713939967,"dec.trend"
"X196900454",0,0,0,0,0,0,0,0,0.539229387103214,0,0.254342184068676,0,0.542024356158914,1,0.0539229387103214,0.449091635056898,0.0247484696503588,"X196900454",0.699976677626908,0.00531590580515367,"increasing"
"X196900167",0,1,0,0,0,0,0,0,0,0,0,0,0.683139534883721,0,0.1,0.17078488372093,0.717311029372923,"X196900167",0.0115375609402078,0.968774390094415,"inc.trend"
"X196900213",1,0.353410097431355,0.965456155890168,0.951874815470918,0.239149689991143,0.135518157661647,0.297903749630942,0.453793917921464,0.733687629170357,0.621789193976971,0,0,0,0,0.575258340714497,0,0.00473728714492616,"X196900213",-0.717617167062911,0.00385629851664615,"decreasing"
"X196900222",0.421493902439024,0.346036585365854,0,0,0,0.325457317073171,0,0.632621951219512,1,0.43140243902439,0,0,0,0,0.315701219512195,0,0.0883044801399283,"X196900222",-0.317936167899866,0.267967353405257,"dec.trend"
"X196900262",1,0.446960667461263,0.864123957091776,0.491060786650775,0.245530393325387,0.381406436233611,0.66030989272944,0.612634088200238,0.744934445768772,0.589988081048868,0,0,0,0,0.603694874851013,0,0.000224258479340004,"X196900262",-0.800233111855613,0.000587606366299779,"decreasing"
"X196900296",0.579983593109106,0.531583264971288,0,1,0.383921246923708,0.237079573420837,0.748974569319114,0.63740771123872,0.853978671041838,0.745693191140279,0.478260869565217,0,0,0,0.571862182116489,0.119565217391304,0.0200317435968577,"X196900296",-0.509659745282906,0.0626473244594461,"dec.trend"
"X196900308",0.625602202339986,0.298692360633173,0.445973847212663,0,0.165175498967653,0.149346180316586,0.627666896077082,0.649002064693737,0.994494150034412,0.193392980041294,0.905024088093599,0.593255333792154,0.878183069511356,1,0.414934618031659,0.844115622849277,0.0236347383160031,"X196900308",0.651675081373983,0.0115664038522584,"increasing"
"X196900312",0,0,0,0,0,0,0,0,0,0,0.592857142857143,0,1,0.921428571428571,0,0.628571428571429,0.000537872826447149,"X196900312",0.809478448086353,0.00045177226213821,"increasing"
"X196900383",0,0.359916782246879,0,0.289181692094313,0.275312066574202,0,0.653952843273232,0.40499306518724,0.986823855755895,0,0.432038834951456,0.479889042995839,1,0.813453536754508,0.297018030513176,0.681345353675451,0.0618279304216224,"X196900383",0.621687852520263,0.0176184854249552,"increasing"
"X196900499",0,0.29746835443038,0,0,0.235150925024343,0,0.359785783836417,0.592015579357351,1,0.377799415774099,0.628042843232717,0.377312560856865,0.559883154819864,0.68792599805258,0.286222005842259,0.563291139240506,0.130958532293716,"X196900499",0.611949001894813,0.0200252781177628,"increasing"
"X196900569",0,0.195210449927431,0,0.386066763425254,0.168359941944848,0.231494920174165,0.443396226415094,0.504354136429608,1,0.251814223512337,0.28011611030479,0.318577648766328,0.565312046444122,0.446298984034833,0.318069666182874,0.402576197387518,0.595275740953494,"X196900569",0.366996363003361,0.196786939732368,"inc.trend"
"X196900147",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.548626727922509,"X196900147",-0.284650946365053,0.323949618562548,"dec.trend"
"X196900174",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.548626727922509,"X196900174",-0.284650946365053,0.323949618562548,"dec.trend"
"X196900177",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.548626727922509,"X196900177",-0.284650946365053,0.323949618562548,"dec.trend"
"X196900297",0,0.245857590685177,0,0.909538737124944,0.48410210479176,0,0.412897447380206,0.364532019704433,1,0.662785490371697,0,0.318405732198836,0.356471115091805,0.45320197044335,0.407971339005822,0.282019704433498,0.53239357890102,"X196900297",0.0287986319461014,0.922148856183945,"inc.trend"
"X196900301",0,0,0,0,0,0,0,0,0,0,0.915693904020752,0,1,0,0,0.478923476005188,0.0127915969754989,"X196900301",0.574017222314212,0.0318271870081763,"increasing"
"X196900331",0.458261617900172,0.548623063683305,1,0.372203098106713,0.151032702237522,0.176419965576592,0.291738382099828,0.39802065404475,0.539156626506024,0.853700516351119,0,0,0,0,0.478915662650602,0,0.00509194839146601,"X196900331",-0.641594626658252,0.0133870624182098,"decreasing"
"X196900390",0,0,0,0,0,0.241847826086957,0,0,0,0,0,0,1,0,0.0241847826086957,0.25,0.165730084289035,"X196900390",0.387489722914641,0.171036697913871,"inc.trend"
"X196900429",0.446466809421842,0.295503211991435,0.836188436830835,0.744111349036403,0.367237687366167,0,0.488222698072805,0.460385438972163,0,1,0.741970021413276,0.319057815845824,0.477516059957173,0.402569593147752,0.463811563169165,0.485278372591006,0.905467431692136,"X196900429",0.0351944249648906,0.904923981267954,"inc.trend"
"X196900464",0,0.5,0,0,0.282771535580524,0,0.657303370786517,0,0,0.552434456928839,0.569288389513109,0.647940074906367,0.739700374531835,1,0.199250936329588,0.739232209737828,0.00370901429351583,"X196900464",0.763956837431893,0.001468988201978,"increasing"
"X196900492",0,0,0,0,0.486330935251799,0.305035971223022,0.8,0,1,0.464748201438849,0,0.463309352517986,0,0.915107913669065,0.305611510791367,0.344604316546763,0.868734589898882,"X196900492",0.265277898291869,0.35934550131949,"inc.trend"
"X196900529",0,0.215648854961832,0.430025445292621,0.33206106870229,0.243002544529262,0,0,0.269083969465649,0,0.544529262086514,0.409669211195929,0,0.663486005089059,1,0.203435114503817,0.518288804071247,0.0742878787213912,"X196900529",0.566889481407873,0.0345228215544962,"increasing"
"X196900253",0.693167701863354,0.359006211180124,0.878260869565217,0,0.249689440993789,0.522981366459627,0.445962732919255,0.493167701863354,1,0.66832298136646,0,0,0,0,0.531055900621118,0,0.00430678847103753,"X196900253",-0.608871157723654,0.0208352521704786,"decreasing"
"X196900268",0.390774586597041,0.247171453437772,0.451261966927763,0,0.172758920800696,0.0844212358572672,0.252828546562228,1,0.830287206266319,0.282419495213229,0.134464751958225,0,0,0,0.371192341166232,0.0336161879895561,0.0620741696733459,"X196900268",-0.377089992479092,0.183814115348245,"dec.trend"
"X196900275",0,0,0,0,0,0.625954198473282,0,0,0,0,0,0,0,1,0.0625954198473282,0.25,0.316612796386094,"X196900275",0.349002524312954,0.221322947454387,"inc.trend"
"X196900310",0.306466951973371,0.200427960057061,1,0.179505468378507,0.121968616262482,0.225630052306229,0.173086067522587,0.252258678078935,0.470042796005706,0.43319067998098,0,0,0,0,0.336257727056586,0,0.0262121120205696,"X196900310",-0.559362955892706,0.0375488897091885,"decreasing"
"X196900336",0.411053540587219,0.231535101087067,1,0.253378035151885,0.115411967895967,0.701615361170375,0.960276338514681,0.231738291171391,0.439500152392563,0.708422228995225,0.0373869755155948,0,0,0,0.505293101696637,0.00934674387889871,0.0102276655713389,"X196900336",-0.58102585604814,0.0293322129185632,"decreasing"
"X196900352",0,0,0,0.838039867109635,0,0,0.31312292358804,0,1,0.36046511627907,0.497508305647841,0.401993355481728,0.709302325581395,0.334717607973422,0.251162790697674,0.485880398671096,0.264640355712847,"X196900352",0.418974505094887,0.135930225237927,"inc.trend"
