"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"126","X19690015",-0.225085951120758,0.419922432167383,0.588401949024813,"dec.trend"
"127","X196900175",-0.34877655681043,0.202632585461486,0.405075051734751,"dec.trend"
"128","X196900233",-0.694119317611902,0.00409352695742916,0.0645047246821771,"decreasing"
"129","X196900266",-0.0243595531063232,0.931330311309573,0.960499493319269,"dec.trend"
"130","X196900271",-0.604175326791946,0.0170595155320764,0.145637715931245,"decreasing"
"131","X196900291",-0.425015788882774,0.114280579989027,0.337713765223983,"dec.trend"
"132","X196900293",-0.74133895717002,0.00156206674343633,0.0385530316243229,"decreasing"
"133","X196900307",-0.31056339792027,0.259911086575828,0.441590331962116,"dec.trend"
"134","X196900314",0.766030112449207,0.000868512226621125,0.0250240085295212,"increasing"
"135","X196900316",0.691235729142385,0.00431711658064558,0.0645047246821771,"increasing"
"136","X196900320",-0.620987178197863,0.0134872601924735,0.119569749014044,"decreasing"
"137","X196900350",-0.26831339758816,0.333589272461149,0.524862302404742,"dec.trend"
"138","X196900398",0.155774072033937,0.579323174759549,0.738638027482048,"inc.trend"
"139","X196900400",-0.416456589000696,0.122553559914616,0.346703625257955,"dec.trend"
"140","X196900406",0.642434732190318,0.00980360051025202,0.098249126852743,"increasing"
"141","X196900465",0.5781988328498,0.0239586064330934,0.163724861667542,"increasing"
"142","X196900469",0.502448701147318,0.0562913790674424,0.251944910195058,"inc.trend"
"143","X196900507",0.823083757551836,0.000163670807683743,0.00943153029277568,"increasing"
"144","X196900137",-0.83755277496639,9.75350295529224e-05,0.00749394143731621,"decreasing"
"145","X196900144",-0.667915617928895,0.00650355151696971,0.0797088474382236,"decreasing"
"146","X196900187",0.176133120574536,0.530056244179001,0.701388732383215,"inc.trend"
"147","X196900194",-0.55778800742605,0.0307259934560895,0.186377407674437,"decreasing"
"148","X196900259",0.143175573925395,0.610720142839486,0.758873277221033,"inc.trend"
"149","X196900319",0.584325918004717,0.0221677320268345,0.162211499434456,"increasing"
"150","X196900355",-0.361698811627577,0.185266539827682,0.389289161674624,"dec.trend"
"151","X196900361",-0.534232538840922,0.0402216479652031,0.209097245538416,"decreasing"
"152","X196900454",0.594574413860847,0.0194025731902859,0.153486164634963,"increasing"
"153","X196900167",0.341604308588846,0.212705827339347,0.420847151946089,"inc.trend"
"154","X196900213",-0.640842021385291,0.0100465433060714,0.0985416268957217,"decreasing"
"155","X196900222",-0.518897114714293,0.0474791883044405,0.225648513488114,"decreasing"
"156","X196900262",-0.403210502783955,0.136151494232467,0.350647144364064,"dec.trend"
"157","X196900282",0.471993138661614,0.0756713106232716,0.279075793578626,"inc.trend"
"158","X196900296",-0.595081341917373,0.0192730169609096,0.153486164634963,"decreasing"
"159","X196900308",-0.437217722094079,0.103166454957184,0.321349565778797,"dec.trend"
"160","X196900312",0.20306544529331,0.467927117222948,0.647790994113451,"inc.trend"
"161","X196900383",0.164951718193107,0.556881446787104,0.725204369968516,"inc.trend"
"162","X196900499",0.484257404997178,0.0673670557860405,0.260976577456846,"inc.trend"
"163","X196900569",0.577267755534662,0.0242400991238132,0.163724861667542,"increasing"
"164","X196900147",0.254014568476373,0.360948987569032,0.556233074075004,"inc.trend"
"165","X196900174",-0.280259433442568,0.311663173511657,0.507691600667399,"dec.trend"
"166","X196900177",0.0790909214098858,0.779337918601935,0.874444142096358,"inc.trend"
"167","X196900297",-0.30269039003762,0.272819120773659,0.454741444291437,"dec.trend"
"168","X196900301",0.215139929138359,0.441281432161321,0.613499193617433,"inc.trend"
"169","X196900331",-0.581199870824471,0.0230681986688487,0.163606762866757,"decreasing"
"170","X196900346",0.0977979567691026,0.728784608606219,0.848265817300924,"inc.trend"
"171","X196900390",0.521689135382588,0.0460909637658156,0.224717465064159,"increasing"
"172","X196900429",-0.225085951120758,0.419922432167383,0.588401949024813,"dec.trend"
"173","X196900464",0.69808128819473,0.00380143172836216,0.0645047246821771,"increasing"
"174","X196900492",0.766930729506471,0.000849014247848427,0.0250240085295212,"increasing"
"175","X196900529",0.667307912883606,0.00657036052636117,0.0797088474382236,"increasing"
"176","X196900253",-0.581756507727923,0.0229058541637438,0.163606762866757,"decreasing"
"177","X196900268",-0.348527712377607,0.202976869741274,0.405075051734751,"dec.trend"
"178","X196900275",-0.0554195028143191,0.844479165211809,0.905360221308474,"dec.trend"
"179","X196900310",-0.533903720647833,0.0403680148653342,0.209097245538416,"decreasing"
"180","X196900336",-0.361698811627577,0.185266539827682,0.389289161674624,"dec.trend"
"181","X196900352",0.365171935482083,0.180769639966915,0.389289161674624,"inc.trend"
"182","X196900450",0.236095077163623,0.396918642477504,0.588401949024813,"inc.trend"
"183","X196900500",0.554767848196924,0.031838226932191,0.18817208481718,"increasing"
"184","X196900142",-0.446569042191959,0.0951765172596882,0.321349565778797,"dec.trend"
"185","X196900200",0.117164510044182,0.677522274105499,0.817638137074961,"inc.trend"
"186","X196900231",-0.694276801929292,0.0040815862578018,0.0645047246821771,"decreasing"
"187","X196900264",-0.57592359311345,0.0246509059417143,0.163724861667542,"decreasing"
"188","X196900276",-0.271798205999338,0.327104947139708,0.518197184300362,"dec.trend"
"189","X196900294",0.572973938378675,0.0255709111498113,0.163724861667542,"increasing"
"190","X196900357",-0.493137764936024,0.061779780356995,0.259311118468903,"dec.trend"
"191","X196900358",-0.146378561941846,0.602675196486939,0.758873277221033,"dec.trend"
