Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
0.591;23519974;0.591;17996372;0.591;16461602;0.591;19168872;0.591;17516642;0.591;16453270;0.591;17642668;0.591;17536026;0.591;15293163;0.591;17244428;0.591;15909330;0.591;23353320;0.591;16313141;0.591;16436765;0.591;16477927;0.591;15030954;0.591;20452588
0.601;34555112;0.601;16859540;0.601;14343037;0.602;27943278;0.601;20808450;0.601;16127292;0.601;17125540;0.602;17346054;0.601;19915140;0.601;18293912;0.602;14677393;0.601;28710066;0.601;19592876;0.601;15696673;0.601;15480648;0.601;25987912;0.601;22273584
0.612;37606788;0.612;21094042;0.612;14241089;0.612;33189324;0.612;27140416;0.612;14607963;0.612;14210388;0.612;20751692;0.612;26099044;0.612;17357982;0.612;23628722;0.612;29926332;0.612;19948382;0.612;15356022;0.612;14805820;0.612;34905032;0.612;29894396
0.622;37566880;0.622;33105114;0.622;17015686;0.623;33926476;0.622;29277392;0.622;12896210;0.622;11257218;0.623;30711774;0.622;25948840;0.622;15720986;0.623;33677080;0.622;31662812;0.622;25058848;0.622;21748344;0.622;27085496;0.622;36089544;0.622;34294808
0.633;36661928;0.633;35734556;0.633;17795382;0.633;33167130;0.633;29092072;0.633;14193509;0.633;9180772;0.633;33536986;0.633;27893356;0.633;13918397;0.633;35249756;0.633;34421448;0.633;31878502;0.633;31008160;0.633;34177328;0.633;36375236;0.633;35021300
0.643;35707600;0.643;36679240;0.643;20301028;0.644;32172078;0.643;30262836;0.643;24540666;0.643;8262861;0.644;34793716;0.643;32021296;0.643;11654321;0.643;35411372;0.643;35266564;0.643;33909228;0.643;33758764;0.643;35565928;0.643;35957180;0.643;34702120
0.654;35039240;0.654;36695072;0.654;28853484;0.654;31262754;0.654;33187532;0.654;32546548;0.654;8282203;0.654;35312964;0.654;33039904;0.654;10016847;0.654;34940512;0.654;34760828;0.654;34910036;0.654;34458144;0.654;36199992;0.654;35565896;0.654;34174168
0.664;34637616;0.664;36162220;0.664;32789282;0.665;30522896;0.664;33822976;0.664;34839328;0.664;9142557;0.664;35435372;0.664;32958000;0.664;9367798;0.664;34469424;0.664;34300064;0.664;35020840;0.664;34531320;0.664;36406624;0.664;35054480;0.664;33439730
0.675;34480072;0.675;35504712;0.675;34191164;0.675;29842992;0.675;33485064;0.675;35848148;0.675;9182737;0.675;34996764;0.675;32422240;0.675;8917481;0.675;33715952;0.675;33400312;0.675;34747868;0.675;33962472;0.675;36134136;0.675;34457760;0.675;32922678
0.685;33864240;0.685;35039720;0.685;34539704;0.686;29064716;0.685;32845218;0.685;36145056;0.685;8645063;0.685;34151172;0.685;31914778;0.685;8327185;0.685;33111076;0.685;32890162;0.685;34103732;0.685;33185860;0.685;35729004;0.685;33983824;0.685;32450244
0.696;32248086;0.696;34462176;0.696;34158532;0.696;27151364;0.696;32017092;0.696;35619784;0.696;8181202;0.696;33437116;0.696;31479168;0.696;7977284;0.696;32673148;0.696;32804992;0.696;33449380;0.696;32495290;0.696;35144056;0.696;33616852;0.696;31943620
0.706;30407136;0.706;34064852;0.706;33355640;0.706;25131128;0.706;31382662;0.706;34843380;0.706;7865806;0.706;33048528;0.706;31155762;0.706;8162110;0.706;32245740;0.706;32801432;0.706;32742198;0.706;31864698;0.706;34715764;0.706;33166798;0.706;31142752
