"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900202",0.00388299921647396,0,0,0,0.00103733806847652,0,0.00158682894637358,0.00401272144507665,0.00575378949673186,0.00325602711401957,0.00300626676327397,0.00115212887433248,0,0,0,0.00131498595955009,0.00188117317833684,0.587334724308112,"X196900202",-0.125138163943344,0.656778145124224,"dec.trend"
"X196900203",0.0039176302016822,0.001425232312867,0.00349266540265443,0,0.00188856548349107,0.00378765105513137,0,0.00243496409670286,0.00152190065290974,0,0.00232620218891813,0.00247861553083398,0.0022735854994021,0.00233956385429285,0.00126835832669508,0.00211833856906611,0.00174403229329312,0.590607202914377,"X196900203",-0.1503980452405,0.592639378276161,"dec.trend"
"X196900225",0.00264494149527936,0.00139453500151294,0.0031101353823637,0.00234940414005663,0.00193738139259585,0.00284210468783306,0,0.00289462568638656,0.00173726395284979,0.00131093726685567,0.00165884910193342,0.00155212613930845,0.00166782050475172,0.00116978192714643,0.00142303617141399,0.00214664097325351,0.00150283072346564,0.130962558743267,"X196900225",-0.431646271385295,0.108143265381633,"dec.trend"
"X196900341",0,0.00231983967232813,0,0,0.00176652571072913,0.00137186207047326,0,0,0,0.00268049367979025,0.00123301427500032,0.0031042522786169,0.00204937378060293,0,0.00242070826985097,0.000682278431691315,0.00164112032626591,0.120998815150278,"X196900341",0.40787803932884,0.131248492068042,"inc.trend"
"X196900191",0.00469682736886761,0.00128490174667702,0.0024448657818581,0,0.00109835795485749,0.00245951367216322,0.00274988122118622,0.00371456257609263,0.00444007336709751,0.00462558352695415,0.00347023605232048,0.00123759837539572,0.00294228711687331,0.00190158863038495,0.0028847418040077,0.00230611379021279,0.00307172983900483,0.305397771706188,"X196900191",0.0645186268570636,0.81930552426953,"inc.trend"
"X196900211",0.00326829922902769,0.00276714335205869,0.00337624322256594,0.00189086852318441,0.00219061392107688,0.00319190218787405,0,0.00178895321390414,0.00119526631466732,0,0.00139190786713953,0.00127862373590608,0,0,0.00116395078150981,0.00230925295621148,0.000718535528460392,0.00625076936313274,"X196900211",-0.745517868361204,0.00142078709032993,"decreasing"
"X196900229",0.00241551121827477,0.00153925089789636,0.00238942664848263,0.00153633067508733,0.00196178934714824,0.00309898722692566,0.002943100981127,0.00355305985539295,0.00597274218500425,0.00590454671413041,0.00361006241340299,0.00341536126248709,0.00514506891560199,0.00368398147198483,0.0130664109326301,0.00242968210629187,0.00582831055646309,0.0153157257639491,"X196900229",0.644995053919377,0.00942270357682454,"increasing"
"X196900255",0.00194799291796352,0.00317497906004833,0,0.00194759457887994,0.00164753693228623,0.00135546531265884,0,0.00201257236564216,0.00105169078137395,0,0,0,0,0,0,0.00151076764593488,0.000150241540196278,0.00743017519522286,"X196900255",-0.702336810069274,0.00350641970766497,"decreasing"
"X196900263",0.0018008112308285,0.00119719514280828,0.00209005532825511,0.00166396430040228,0.00138210042652901,0,0,0.00118021218972843,0,0,0,0.00143930639790497,0.00138460570205803,0.00149687734753334,0,0.00116429232731895,0.00061725563535662,0.196464493393013,"X196900263",-0.342756948110012,0.211065960434561,"dec.trend"
"X196900283",0.00155839433437082,0.00102616726526424,0.00130836354766102,0,0,0,0,0.00175168335528114,0.00157933086622709,0.00127363417389636,0.00104869770811883,0,0.00120759645037447,0.00121690584364285,0.00165118599237438,0.000705576062822153,0.00113962157637628,0.241450758034004,"X196900283",0.128649150066878,0.64771621908147,"inc.trend"
