"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900151",0.449473684210526,0.183759398496241,0.362255639097744,0.146015037593985,0.575037593984962,0.425413533834586,0.711578947368421,0.385112781954887,0.658947368421053,0.340902255639098,0.272932330827068,0.758496240601504,0.985413533834587,1,0.32,0.404830827067669,0.61952738990333,0.12470676067493,"X196900151",0.540111608327795,0.037670806017354,"increasing"
"X196900153",1,0.0995339547270306,0.800932090545939,0,0.551597869507324,0.459387483355526,0.755326231691079,0.468375499334221,0.391478029294274,0.282623169107856,0.226697736351531,0.546271637816245,0.242010652463382,0.361517976031957,0.108189081225033,0.51689414114514,0.308398326041468,0.157425714794492,"X196900153",-0.411165422264699,0.127868335460844,"dec.trend"
"X196900159",0.605407145156099,0.229481815255874,0.606372706791117,0,0.219504345027358,0.344061795944641,1,0.469262954618603,0.629546186031542,0.247183778564532,0.19729642742195,0.471515931766978,0.617959446411329,0.837463791438687,0.273897650466688,0.434261345349211,0.467837601728815,0.819560627993362,"X196900159",0.133016124740756,0.636508812934251,"inc.trend"
"X196900269",0.0938619536661094,0.509433962264151,0,0,0.131836637210413,0.185574396942919,0.457845712920946,0.0728445187485073,0.29687126821113,0.136135657989014,0.432051588249343,0.0912347743014091,0.367327442082637,0.59660855027466,1,0.181424647719131,0.417175611586885,0.097504106328115,"X196900269",0.544148453210489,0.0359905706322,"increasing"
"X196900288",0.17375132837407,1,0.426142401700319,0.68384697130712,0.5807651434644,0.287991498405951,0.740170031880978,0,0,0.326780021253985,0.226886291179596,0.396386822529224,0.341657810839532,0.695536663124336,0.319872476089267,0.486583421891605,0.329588583573706,0.296508721232752,"X196900288",-0.185572256913903,0.507871463745979,"dec.trend"
"X196900139",0.869731800766284,0.20439780109945,0.486423454939197,0.117941029485257,0.522072297184741,0.932033983008496,1,0.716141929035482,0.786273529901716,0.30967849408629,0.224387806096952,0.574212893553223,0.383308345827086,0.295352323838081,0.520573046809928,0.606092786939863,0.441969491444754,0.272592816773435,"X196900139",-0.1977988177206,0.479789128119566,"dec.trend"
"X196900197",0.665294924554184,0.636488340192044,0.306584362139918,1,0.724279835390947,0.447873799725652,0,0.412208504801097,0.357338820301783,0.315500685871056,0.117283950617284,0.334705075445816,0.453360768175583,0.481481481481481,0.344993141289438,0.52409122085048,0.343523417597492,0.162789967621784,"X196900197",-0.385933340443466,0.155376037540242,"dec.trend"
"X196900210",0.433727810650888,0.407100591715976,0.683431952662722,0.147337278106509,0.957988165680473,0.359763313609467,0.837278106508876,0.137869822485207,1,0.564497041420118,0.379881656804734,0.946153846153846,0.382248520710059,0.256804733727811,0.614792899408284,0.495562130177515,0.592054099746407,0.539818523645091,"X196900210",0.0548340716027997,0.846103868006804,"inc.trend"
"X196900217",0.437893531768746,0.237550085861477,0,0.321121923297081,0.613623354321694,0.534058385804236,0,0.538637664567831,0.458500286204923,0.636519748139668,0.436748712077848,0.690898683457356,0.484258729250143,1,0.757870635374928,0.335360618202633,0.637828113500695,0.0212826447747932,"X196900217",0.671096358042464,0.00616255260758312,"increasing"
"X196900242",0.077559462254395,0.493130447628896,0,0.152607475254838,0.519131334022751,0.168562564632885,0.961737331954498,0.27670261486187,0.195893041808243,0.188949623282612,0.27448663022603,0.916088048456197,0.465061308908258,1,0.372580883439208,0.331178903826267,0.487579933731507,0.36956015643021,"X196900242",0.463702043240291,0.0816851268840506,"inc.trend"
"X196900246",0.264943457189015,0.189553042541734,0,0.750134625740442,0.779213785675821,0.437802907915994,0,0.228863758750673,0.311793214862682,0.478729133010232,0.129779213785676,1,0.177167474421109,0,0.410339256865913,0.33131394722671,0.358258327563659,0.871098898834683,"X196900246",0.0619930120910973,0.826277521818759,"inc.trend"
"X196900280",0.302816901408451,0.963908450704225,0,0.528169014084507,0.779929577464789,0.338908450704225,0,0,0.516725352112676,0.397007042253521,0.492957746478873,0.645246478873239,0.558978873239437,1,0.880281690140845,0.364216549295775,0.641599597585513,0.10776410712127,"X196900280",0.404740944603731,0.134530375380568,"inc.trend"
"X196900286",0.0599485104817948,0,0.286870172857668,0,0.470025744759103,0.228944464876793,0.210371460095623,0.133321073924237,0.230599485104818,0.185730047811695,0.133504965060684,0.716807649871276,0.682420007355645,1,0,0.173685178374402,0.421294593600588,0.11178770370814,"X196900286",0.556930062867371,0.0310389254029719,"increasing"
"X196900344",0,0.322558922558923,0.2,0.266666666666667,0.594612794612795,0.447138047138047,1,0,0.18047138047138,0.237037037037037,0.372390572390572,0.718518518518519,0,0.413468013468013,0.193265993265993,0.353872053872054,0.302164502164502,0.734386578045697,"X196900344",0.0644925023010164,0.819377578139836,"inc.trend"
"X196900172",0.270673952641166,0,0,0,0.0686703096539162,0.138069216757741,1,0.218214936247723,0.414207650273224,0.210564663023679,0.1816029143898,0.0668488160291439,0.106375227686703,0.0945355191256831,0.363387978142077,0.211953551912568,0.20536039552433,0.962029899395507,"X196900172",0.0580858760397851,0.83708682720181,"inc.trend"
