"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"80","X19690024",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"81","X19690026",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"82","X19690027",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"83","X19690028",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"84","X19690031",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"85","X19690032",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"86","X19690033",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"87","X19690035",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"88","X19690038",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"89","X19690039",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"90","X19690040",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"91","X19690043",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"92","X19690044",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"93","X19690045",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"94","X19690047",-0.350865830264771,0.182711989845823,0.397840623051388,"dec.trend"
"95","X19690051",-0.350865830264771,0.182711989845823,0.397840623051388,"dec.trend"
"96","X19690055",-0.350865830264771,0.182711989845823,0.397840623051388,"dec.trend"
"97","X19690058",-0.350865830264771,0.182711989845822,0.397840623051388,"dec.trend"
"98","X19690063",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"99","X19690065",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"100","X19690067",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"101","X19690071",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"102","X19690072",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"103","X19690073",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"104","X19690075",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"105","X19690076",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"106","X19690077",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"107","X19690078",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"108","X19690079",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"109","X19690084",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"110","X19690085",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"111","X19690086",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"112","X19690089",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"113","X19690091",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"114","X19690092",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"115","X19690093",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"116","X19690094",-0.254723239377959,0.341058469716009,0.469825442976135,"dec.trend"
"117","X196900101",-0.150714436509498,0.57742207255603,0.715155777936367,"dec.trend"
"118","X196900105",-0.0877847406563113,0.746483165071938,0.83979356070593,"dec.trend"
"119","X196900107",-0.056319892729718,0.835878126124612,0.881671392732338,"dec.trend"
"120","X196900108",-0.056319892729718,0.835878126124612,0.881671392732338,"dec.trend"
"121","X196900109",-0.056319892729718,0.835878126124612,0.881671392732338,"dec.trend"
"122","X196900110",-0.056319892729718,0.835878126124612,0.881671392732338,"dec.trend"
"123","X196900111",-0.056319892729718,0.835878126124612,0.881671392732338,"dec.trend"
"124","X196900115",0.125477006401709,0.643341570731296,0.755227061293261,"inc.trend"
"125","X196900116",0.125477006401709,0.643341570731296,0.755227061293261,"inc.trend"
"126","X196900119",0.125477006401709,0.643341570731296,0.755227061293261,"inc.trend"
"127","X196900120",0.162185995649401,0.54842982782647,0.698471950533712,"inc.trend"
"128","X196900121",0.162185995649401,0.54842982782647,0.698471950533712,"inc.trend"
"129","X196900122",0.162185995649401,0.54842982782647,0.698471950533712,"inc.trend"
"130","X196900123",0.162185995649401,0.54842982782647,0.698471950533712,"inc.trend"
"131","X196900125",0.324754376603466,0.219728602347036,0.417793821364083,"inc.trend"
"132","X196900126",0.324754376603466,0.219728602347036,0.417793821364083,"inc.trend"
"133","X196900128",0.324754376603466,0.219728602347036,0.417793821364083,"inc.trend"
"134","X196900130",0.324754376603466,0.219728602347036,0.417793821364083,"inc.trend"
"135","X196900134",0.470716310040718,0.065735868859086,0.259690826756679,"inc.trend"
