Wb1_RT;Wb1;Wb10_RT;Wb10;Wb11_RT;Wb11;Wb12_RT;Wb12;Wb13_RT;Wb13;Wb14_RT;Wb14;Wb15_RT;Wb15;Wb16_RT;Wb16;Wb17_RT;Wb17;Wb2_RT;Wb2;Wb3_RT;Wb3;Wb4_RT;Wb4;Wb5_RT;Wb5;Wb6_RT;Wb6;Wb7_RT;Wb7;Wb8_RT;Wb8
0.591;19599700;0.591;17477072;0.591;16728197;0.591;17223012;0.591;18786522;0.591;18026756;0.591;17162460;0.591;17348340;0.591;17644982;0.591;16272163;0.591;18339486;0.591;17732796;0.591;19263820;0.591;16154548;0.591;17133706;0.591;18324962
0.602;17912528;0.602;16004547;0.601;15019900;0.601;15852999;0.601;16775779;0.601;17162556;0.602;15353655;0.601;15951064;0.601;15352271;0.601;15499912;0.601;16237144;0.601;16153280;0.601;18244888;0.602;14291127;0.601;15386969;0.601;16908974
0.612;15752188;0.612;14626820;0.612;14399369;0.612;13854412;0.612;14014751;0.612;15483835;0.612;13648147;0.612;13732647;0.612;12964678;0.612;14069455;0.612;14416470;0.612;14454957;0.612;16940860;0.612;12924123;0.612;12627219;0.612;15981670
0.623;13516700;0.622;13411989;0.622;13846268;0.622;12092633;0.622;12487238;0.622;13373926;0.623;12262465;0.622;11781477;0.622;10967682;0.622;12827831;0.622;12542586;0.622;12525937;0.622;15762700;0.623;11863371;0.622;10770253;0.622;14634016
0.633;12127786;0.633;12254466;0.633;12620469;0.633;11050215;0.633;11433924;0.633;11401071;0.633;11041932;0.633;10348029;0.633;9712127;0.633;11236813;0.633;11045226;0.633;11398274;0.633;14548231;0.633;10765670;0.633;9628686;0.633;12956025
0.644;11130357;0.643;11094205;0.643;11159543;0.643;9988210;0.643;10371154;0.643;10122663;0.644;9841663;0.643;9553760;0.643;8759410;0.643;10479954;0.643;10704280;0.643;10519996;0.643;13528167;0.644;9497025;0.643;9049348;0.643;11336927
0.654;10124893;0.654;10328816;0.654;10217060;0.654;9132214;0.654;9307921;0.654;9081196;0.654;8709752;0.654;8480116;0.654;8443009;0.654;9840097;0.654;11240991;0.654;9912056;0.654;12926005;0.654;8566213;0.654;8515946;0.654;10335285
0.665;9548821;0.664;9860220;0.664;9291152;0.664;8522966;0.664;8919585;0.664;8536663;0.665;8032655;0.664;7995937;0.664;8225388;0.664;9148792;0.664;12025061;0.664;9339405;0.664;12489894;0.665;8164502;0.664;7951666;0.664;9547890
0.675;8800874;0.675;9572164;0.675;8709225;0.675;8072284;0.675;8707686;0.675;7995906;0.675;7469556;0.675;7458790;0.675;7741509;0.675;8624589;0.675;12050706;0.675;8968661;0.675;11840751;0.675;7794055;0.675;7633314;0.675;9084019
0.686;8263133;0.685;9367211;0.685;8124953;0.685;7697614;0.685;8943055;0.685;7537314;0.686;7306700;0.685;7041464;0.685;7478801;0.685;8342949;0.685;10950909;0.685;8501889;0.685;11341637;0.685;7594052;0.685;7377013;0.685;8420309
0.696;7828481;0.696;9382979;0.696;7693855;0.696;7297052;0.696;9278196;0.696;7239149;0.696;6980020;0.696;6906617;0.696;6991816;0.696;7851379;0.696;10110596;0.696;8252433;0.696;11500364;0.696;7425947;0.696;7410768;0.696;8144204
0.706;7653145;0.706;9187756;0.706;7519363;0.706;7170020;0.706;9632453;0.706;6957790;0.706;6758632;0.706;6679811;0.706;6762253;0.706;7746960;0.706;9595444;0.706;7881971;0.706;11337842;0.706;7584939;0.706;7474470;0.706;8123978
0.717;7566576;0.717;9101186;0.716;7473006;0.716;7199195;0.716;9877235;0.716;6600479;0.717;6681381;0.716;6658182;0.716;6514165;0.716;7612383;0.716;9338902;0.717;7552615;0.716;11036168;0.717;7403874;0.716;7565473;0.716;7894205
0.727;7446420;0.727;8929622;0.727;7347243;0.727;7282428;0.727;10024621;0.727;6807502;0.727;6668271;0.727;6725961;0.727;6277329;0.727;7638144;0.727;9110614;0.727;7338314;0.727;11290875;0.727;7294248;0.727;7655222;0.727;7637811
0.738;7434151;0.738;8832748;0.737;7313943;0.737;7171592;0.737;9822834;0.737;6814286;0.738;6451659;0.737;6580330;0.737;6327451;0.737;7527522;0.737;8903193;0.738;7153818;0.737;11011082;0.738;7183028;0.737;7552953;0.737;7520966
0.748;7383421;0.748;8691421;0.748;7375932;0.748;6947663;0.748;9564725;0.748;6979703;0.748;6553403;0.748;6423727;0.748;6143287;0.748;7556698;0.748;8510850;0.748;7389842;0.748;10709594;0.748;7222380;0.748;7471591;0.748;7583237
0.759;7585523;0.759;8736738;0.758;7615120;0.758;7034384;0.758;9372763;0.758;7049591;0.759;6602900;0.758;6534843;0.758;6227403;0.758;7505430;0.758;8389756;0.759;7343738;0.758;10677518;0.759;7379224;0.758;7510980;0.758;7619193
0.769;7552606;0.769;8738041;0.769;7676011;0.769;7013648;0.769;9125103;0.769;7202628;0.769;6572796;0.769;6757867;0.769;6306987;0.769;7450333;0.769;8418918;0.769;7503014;0.769;10697115;0.769;7607418;0.769;7752303;0.769;7533677
0.791;7624426;0.791;9032100;0.791;8544918;0.791;7306704;0.791;9392440;0.791;7385321;0.791;6716804;0.791;7340905;0.791;6676391;0.791;7757162;0.791;9020300;0.791;7946176;0.791;11317753;0.791;8195637;0.791;8372922;0.791;7414020
0.802;7752371;0.802;8663876;0.801;8457046;0.801;7060426;0.801;9273233;0.801;7527184;0.802;6626949;0.801;7589837;0.801;6723027;0.801;7664769;0.801;8926825;0.801;8028144;0.801;10818269;0.802;8106631;0.801;8432524;0.801;7623810
0.812;7746023;0.812;8579636;0.812;8388605;0.812;7219772;0.812;9049392;0.812;7348286;0.812;6707619;0.812;7624648;0.812;6697550;0.812;7606953;0.812;8801340;0.812;7789068;0.812;10596135;0.812;8052855;0.812;8351853;0.812;7465517
0.823;7794627;0.822;8325195;0.822;8199054;0.822;7036153;0.822;8707140;0.822;7354694;0.823;6685242;0.822;7703119;0.822;6723182;0.822;7418048;0.822;8552822;0.822;7739830;0.822;10683766;0.823;8100511;0.822;8280387;0.822;7417170
0.833;7693868;0.833;8566631;0.833;8305034;0.833;7089654;0.833;8713269;0.833;7113519;0.833;6536871;0.833;7588799;0.833;6834954;0.833;7388739;0.833;8713899;0.833;7800805;0.833;10380400;0.833;8090074;0.833;8497232;0.833;7384664
0.844;7734842;0.843;8459163;0.843;8510320;0.843;7207540;0.843;8910610;0.843;7205445;0.844;6434237;0.843;7674313;0.843;7022030;0.843;7282669;0.843;9065701;0.843;8163390;0.843;10234720;0.844;8241717;0.843;8547853;0.843;7374130
0.854;7977125;0.854;8774875;0.854;8675541;0.854;7226635;0.854;9175704;0.854;7076394;0.854;6462244;0.854;7668260;0.854;7322194;0.854;7419168;0.854;9429749;0.854;8402906;0.854;10477241;0.854;8586031;0.854;8994389;0.854;7432230
0.865;7852387;0.864;8834463;0.864;9096978;0.864;7177237;0.864;9709550;0.864;7168123;0.865;6408174;0.864;8033023;0.864;7761378;0.864;7352613;0.864;9977919;0.864;8571892;0.864;10448548;0.864;8897189;0.864;9344112;0.864;7403922
0.875;7941568;0.875;8884351;0.875;9131132;0.875;7281911;0.875;10216191;0.875;7424304;0.875;6540037;0.875;8186230;0.875;8000261;0.875;7483168;0.875;10141519;0.875;8715736;0.875;10561005;0.875;9034188;0.875;9741396;0.875;7470397
0.885;8151173;0.885;8826743;0.885;9290705;0.885;7526993;0.885;10220325;0.885;7569643;0.886;6686453;0.885;8445693;0.885;8037709;0.885;7778907;0.885;10160798;0.885;8957644;0.885;10396845;0.885;9314413;0.885;9933349;0.885;7542647
0.896;8281624;0.896;8788859;0.896;9008302;0.896;7605507;0.896;9943611;0.896;7571695;0.896;6591772;0.896;8793370;0.896;7932446;0.896;8006727;0.896;9948571;0.896;8859386;0.896;10360205;0.896;9021987;0.896;9837218;0.896;7680956
0.906;8319642;0.906;8627940;0.906;8796902;0.906;7607093;0.906;9941304;0.906;7548205;0.906;6814055;0.906;8944727;0.906;7740641;0.906;8088666;0.906;9948048;0.906;8798783;0.906;10344061;0.906;8945957;0.906;9556882;0.906;7673445
0.917;8564360;0.917;8609435;0.916;8643633;0.917;7581749;0.916;9830620;0.917;7591373;0.917;6817599;0.916;8736456;0.916;7638234;0.916;8266674;0.916;9680815;0.917;8616554;0.916;10195022;0.917;8860780;0.916;9465696;0.916;7397908
0.927;8386235;0.927;8485227;0.927;8708525;0.927;7594249;0.927;9963872;0.927;7662302;0.927;6591865;0.927;8763611;0.927;7545818;0.927;8112729;0.927;9607499;0.927;8590063;0.927;10237268;0.927;8830550;0.927;9236763;0.927;7466968
0.938;8487292;0.938;8470422;0.937;8633882;0.938;7606800;0.937;10211736;0.938;7642930;0.938;6714712;0.937;8908472;0.937;7692568;0.937;8373297;0.937;9801069;0.938;8577917;0.937;10212010;0.938;8966114;0.937;9189956;0.937;7292884
0.948;8402801;0.948;8439613;0.948;8607578;0.948;7658377;0.948;10167216;0.948;7950960;0.948;6812659;0.948;9050855;0.948;7698208;0.948;8606805;0.948;9834383;0.948;8604373;0.948;10295999;0.948;9127473;0.948;9228461;0.948;7235214
0.959;8520190;0.959;8552151;0.958;8619769;0.959;7755328;0.958;10262686;0.959;8041659;0.959;6947489;0.958;9106787;0.958;7909864;0.958;8562903;0.958;10094228;0.959;8697681;0.958;10144182;0.959;9172271;0.958;9248833;0.958;7128144
0.969;8302916;0.969;8501969;0.969;8709691;0.969;7702376;0.969;10259085;0.969;7885542;0.969;6934903;0.969;8946445;0.969;7973597;0.969;8876831;0.969;10076829;0.969;8716715;0.969;10180715;0.969;9282405;0.969;9343251;0.969;7170382
0.980;8546414;0.980;8682435;0.979;8812195;0.980;7678070;0.979;10118356;0.980;7846285;0.980;7036988;0.979;9048557;0.979;8027878;0.979;8879505;0.979;10009671;0.980;8690672;0.979;10310931;0.980;9253483;0.979;9432314;0.979;7044315
0.990;8596015;0.990;8623530;0.990;8637566;0.990;7647629;0.990;10017521;0.990;8072440;0.990;6825234;0.990;9054900;0.990;8115754;0.990;8660669;0.990;9534052;0.990;8808610;0.990;10269031;0.990;9308699;0.990;9427655;0.990;6928730
1.001;8505806;1.001;8844565;1.000;8754904;1.001;7835759;1.000;9840908;1.001;7932404;1.001;6916483;1.000;8910279;1.000;8200418;1.000;8652682;1.000;9201420;1.001;8945621;1.000;10081721;1.001;9468360;1.000;9268577;1.000;7018271
1.011;8397796;1.011;8700826;1.011;8625764;1.011;7774099;1.011;9542789;1.011;7809400;1.011;7006515;1.011;8926027;1.011;8414487;1.011;8347080;1.011;9113117;1.011;9061375;1.011;9972122;1.011;9155933;1.011;9117007;1.011;6841410
1.022;8522485;1.021;8663270;1.021;8642213;1.022;7941403;1.021;9503714;1.022;7768429;1.022;7021064;1.021;9032588;1.021;8698022;1.021;8311079;1.021;8928529;1.021;9012063;1.021;9894641;1.022;9062512;1.021;9073714;1.021;6791487
1.044;8842964;1.043;8742945;1.043;8556087;1.044;8145618;1.043;9408789;1.044;8115686;1.044;7174288;1.043;9365523;1.043;9344830;1.043;8199186;1.043;8874277;1.043;9305528;1.043;10133311;1.044;9144385;1.043;8983948;1.043;6783297
