Sf1_RT;Sf1;Sf10_RT;Sf10;Sf11_RT;Sf11;Sf12_RT;Sf12;Sf13_RT;Sf13;Sf14_RT;Sf14;Sf15_RT;Sf15;Sf2_RT;Sf2;Sf3_RT;Sf3;Sf4_RT;Sf4;Sf5_RT;Sf5;Sf6_RT;Sf6;Sf7_RT;Sf7
1.263;7017043;1.263;6401406;1.263;6221107;1.263;6975202;1.263;6998936;1.263;7163297;1.263;11122641;1.263;7414917;1.264;5958532;1.263;6897588;1.263;4373618;1.263;4574309;1.263;10391285
1.274;6882424;1.274;6934391;1.274;6157408;1.274;6542283;1.274;6577714;1.274;7147258;1.274;10922772;1.274;7702285;1.274;5977298;1.274;7355396;1.274;4435631;1.274;4563770;1.274;10573804
1.295;6617061;1.296;7530799;1.295;7375630;1.295;6264381;1.296;6152695;1.296;7476321;1.295;10414180;1.296;7875443;1.296;6834947;1.296;7962157;1.296;4710161;1.295;4687814;1.296;10601591
1.306;6779761;1.306;7682703;1.306;7866982;1.306;6279018;1.306;6040693;1.306;7597678;1.306;10296782;1.306;7986224;1.306;7356583;1.306;8110194;1.306;4951375;1.306;5136318;1.306;10415545
1.316;6806104;1.317;7758013;1.316;8106907;1.316;6226628;1.316;6148311;1.317;7680781;1.316;10038914;1.317;8108562;1.317;7669919;1.317;8313511;1.316;4983146;1.316;5754784;1.317;10069000
1.327;6830096;1.327;7793735;1.327;8391557;1.327;6187116;1.327;6484982;1.327;7711430;1.327;9678353;1.327;8166512;1.327;7719078;1.327;8360492;1.327;5428511;1.327;6151472;1.327;9649944
1.337;6971685;1.338;7812466;1.337;8504773;1.337;6460549;1.337;6881780;1.337;7733276;1.338;9319019;1.338;8223453;1.338;7877953;1.338;8382077;1.337;6208425;1.337;6567839;1.338;8809835
1.348;7158497;1.348;7830974;1.348;8559144;1.348;6769223;1.348;7114467;1.348;7697785;1.348;8791447;1.348;8364860;1.348;7723832;1.348;8348744;1.348;7058948;1.348;6843696;1.348;8158469
1.358;7311578;1.358;7842624;1.358;8729936;1.358;7277867;1.358;7346211;1.358;7804417;1.359;8557269;1.359;8557136;1.359;7437989;1.358;8355331;1.358;7463026;1.358;6990837;1.359;7734779
1.369;7412783;1.369;7865381;1.369;8710298;1.369;7574598;1.369;7620038;1.369;7812511;1.369;8550097;1.369;9007683;1.369;7315537;1.369;8337625;1.369;7742554;1.369;7045790;1.369;7595231
1.379;7481382;1.379;7857079;1.379;8771696;1.379;7709815;1.379;7696300;1.379;7947431;1.380;8600191;1.380;9571156;1.380;7416274;1.379;8312125;1.379;7884213;1.379;7073731;1.380;7671021
